"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm"
"01","1015.9","1019.1","1022.3","2021/01/01 08:08:00","1006.3","2021/01/22 16:19:00","16.5","27.3","2021/01/21 12:31:00","8.4","2021/01/10 06:11:00","11.4","3.4","360","17.9","10","2021/01/12 10:24:00","2.5","5.1","1","1.0","2021/01/22 12:48:00","2.5","2021/01/22 12:48:00","2.5","2021/01/22 00:00:00","73","202.0","431.58","6","8","2021/01/29 13:00:00","3.9","0.0","1.0"
"02","1013.8","1016.9","1021.7","2021/02/18 22:05:00","1005.1","2021/02/26 15:07:00","19.7","27.5","2021/02/26 13:01:00","13.8","2021/02/18 06:19:00","14.5","2.8","360","14.9","10","2021/02/11 19:22:00","13.5","5.2","1","2.5","2021/02/11 04:06:00","6.5","2021/02/11 05:54:00","13.5","2021/02/11 00:00:00","74","224.3","502.52","8","9","2021/02/25 13:00:00","3.1","0.0","1.0"
"03","1012.6","1015.7","1019.7","2021/03/22 21:43:00","1003.3","2021/03/29 15:43:00","22.4","30.7","2021/03/17 13:01:00","14.7","2021/03/22 20:48:00","17.2","2.9","360","15.3","10","2021/03/21 17:46:00","5.0","3.8","1","2.5","2021/03/24 05:19:00","4.5","2021/03/24 05:19:00","5.0","2021/03/24 00:00:00","74","248.0","592.49","9","11","2021/03/16 13:00:00","3.6","0.0","1.0"
"04","1010.4","1013.5","1017.4","2021/04/11 09:01:00","1002.2","2021/04/23 15:37:00","24.6","31.3","2021/04/17 13:07:00","17.8","2021/04/10 01:19:00","19.3","2.9","360","14.6","350","2021/04/08 20:57:00","20.0","11.5","4","1.5","2021/04/29 04:39:00","6.5","2021/04/29 04:39:00","16.0","2021/04/29 00:00:00","73","222.3","618.60","10","13","2021/04/20 12:00:00","4.5","0.0","1.0"
"05","1007.7","1010.7","1013.5","2021/05/06 08:06:00","1001.5","2021/05/31 02:35:00","29.0","34.1","2021/05/15 11:40:00","22.0","2021/05/06 05:37:00","23.7","2.8","170","14.4","170","2021/05/04 14:53:00","79.5","12.1","3","14.5","2021/05/30 19:56:00","24.0","2021/05/30 19:38:00","50.0","2021/05/30 00:00:00","74","288.9","752.23","12","14","2021/05/09 12:00:00","4.9","0.0","1.0"
"06","1004.8","1007.9","1009.8","2021/06/12 22:25:00","998.7","2021/06/04 15:47:00","28.3","33.6","2021/06/04 12:36:00","24.1","2021/06/06 17:02:00","24.7","2.6","120","14.1","190","2021/06/07 09:17:00","793.0","103.9","21","18.0","2021/06/05 15:33:00","39.5","2021/06/06 04:02:00","156.0","2021/06/06 00:00:00","82","151.7","511.93","10","14","2021/06/30 12:00:00","7.3","0.0","1.0"
"07","1002.6","1005.7","1010.9","2021/07/07 22:41:00","990.0","2021/07/23 17:42:00","29.1","34.0","2021/07/05 11:39:00","24.2","2021/07/31 20:16:00","25.1","2.9","80","19.1","320","2021/07/23 11:56:00","458.0","62.4","15","17.5","2021/07/31 08:14:00","54.5","2021/07/31 08:13:00","172.5","2021/07/31 00:00:00","79","199.9","588.14","10","14","2021/07/03 13:00:00","6.2","0.0","1.0"
"08","1004.9","1008.0","1011.6","2021/08/16 09:47:00","994.4","2021/08/07 03:22:00","28.4","34.1","2021/08/28 12:27:00","23.9","2021/08/26 19:27:00","24.8","2.7","120","22.5","220","2021/08/07 02:42:00","713.0","92.9","15","24.0","2021/08/02 13:40:00","62.0","2021/08/02 13:26:00","182.0","2021/08/01 00:00:00","82","172.5","515.29","9","14","2021/08/16 13:00:00","6.3","0.0","1.0"
"09","1006.7","1009.8","1012.8","2021/09/23 22:18:00","991.9","2021/09/12 04:16:00","29.5","33.9","2021/09/18 14:36:00","24.0","2021/09/05 20:30:00","24.5","2.4","300","17.1","310","2021/09/12 12:11:00","115.0","20.0","8","13.0","2021/09/05 20:19:00","30.5","2021/09/05 20:12:00","44.5","2021/09/14 00:00:00","75","226.1","584.99","9","12","2021/09/04 13:00:00","4.5","0.0","1.0"
"10","1009.3","1012.4","1016.7","2021/10/29 09:07:00","991.4","2021/10/11 23:02:00","27.3","33.7","2021/10/02 14:02:00","21.1","2021/10/29 06:32:00","21.9","2.5","350","11.8","360","2021/10/21 18:05:00","24.0","26.4","3","1.5","2021/10/13 04:25:00","4.0","2021/10/13 04:25:00","13.5","2021/10/13 00:00:00","73","217.4","521.45","8","9","2021/10/04 12:00:00","4.8","0.0","1.0"
"11","1012.6","1015.7","1017.5","2021/11/23 22:24:00","1005.3","2021/11/06 13:55:00","23.2","32.7","2021/11/06 11:50:00","15.7","2021/11/24 04:22:00","17.8","3.3","350","16.3","340","2021/11/30 17:39:00","6.5","14.4","3","0.5","2021/11/13 00:53:00","2.0","2021/11/28 16:25:00","5.0","2021/11/28 00:00:00","73","199.3","441.69","6","8","2021/11/03 12:00:00","4.8","0.0","1.0"
"12","1016.4","1019.6","1024.1","2021/12/27 08:45:00","1008.4","2021/12/21 15:02:00","19.3","26.7","2021/12/14 14:29:00","12.8","2021/12/04 06:48:00","14.4","3.5","360","16.5","360","2021/12/01 00:53:00","11.5","15.8","2","3.5","2021/12/21 20:28:00","6.0","2021/12/21 20:28:00","9.5","2021/12/21 00:00:00","75","203.5","410.39","5","7","2021/12/29 12:00:00","3.9","--","--"
